AGI_code	short_name	long_name	Meiotic_phase	Description_custom
AT1G34355	PS1	PARALLEL SPINDLE 1	Meiotic cell cycle control spindle - cytokinesis	"meiosis II spindle orientation; mutations in PS1 lead to diploid male spores, diploid pollen grains, and spontaneous triploid plants in the next generation"
AT3G63480	PSS1	Pollen Semi Sterility 1	Control of CO distribution in meiotic recombination	kinesin; regulates synapsis and controls crossover distribution
AT1G12790	PTD	PARTING DANCERS	CO and non-CO outcome of meiotic recombination	class I CO pathway of meiotic recombination accounting for 85% of COs; some evidence to suggest that PTD is required to ensure that class I CO intermediates are resolved as CO; required for full number of chiasma formation
AT2G31970	RAD50		early DSB repair in meiotic recombination	"repair of SPO11-induced DSB; MRE11, RAD50 and NBS1 function as complex with COM1 in removal of SPO11, resection of 5' end; also in somatic DNA DSB repair; required for meiotic DSB repair"
AT5G20850 	RAD51		early DSB repair in meiotic recombination	SPO11-induced DSB repair; recombinase (RecA homologue catalysing strand exchange); required for meiosis; also involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT2G28560	RAD51B		early DSB repair in meiotic recombination	meiotic DSB repair; possible anti-CO activity; recombinase (RecA homologue catalysing strand exchange); involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT2G45280	RAD51C		early DSB repair in meiotic recombination	SPO11-induced DSB repair; recombinase (RecA homologue catalysing strand exchange); required for meiosis; also involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT1G07745	RAD51D		early DSB repair in meiotic recombination	no function in Arabidopsis meiosis; recombinase (RecA homologue catalysing strand exchange); involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT3G12280	RBR	RETINOBLASTOMA-RELATED 1	CO and non-CO outcome of meiotic recombination	meiotic gene transcription; class I and class II meiotic CO pathways; several other functions
AT1G10930	RECQ4A		CO and non-CO outcome of meiotic recombination	"Redundant anti-CO activity; DNA helicase involved in the maintenance of genome stability by modulation of the DNA damage response and suppression of homologous recombination; yeast Sgs1 homologue, but not required for meiotic recombination, possibly because of functional redundancy of protein family members; outlier in tetraploid arenosa"
AT1G60930	RECQ4B	RECQ HELICASE L4B	CO and non-CO outcome of meiotic recombination	Redundant anti-CO activity; DNA helicase involved in the maintenance of genome stability by modulation of the DNA damage response and suppression of homologous recombination
AT5G22010	RFC1	REPLICATION FACTOR C 1	CO and non-CO outcome of meiotic recombination	repair of meiotic DSB induced by SPO11;  additional rol in mediating genomic stability and transcriptional gene silencing.
AT5G63540	RMI1	RECQ MEDIATED INSTABILITY 1	CO and non-CO outcome of meiotic recombination	also BLAP75; late recombination intermediate repair; suppresses somatic crossovers; essential for resolution of meiotic recombination intermediates.
AT2G06510	RPA1A	REPLICATION PROTEIN A 1A	early DSB repair in meiotic recombination	meiotic CO formation and DSB repair redundantly with RPA1C; RecA accessory factor; likely role in second end capture; required for full no. of chiasma formation; maybe required downstream (class I pathway of CO formationafter AtMSH4 and before AtMLH3)?
AT5G08020	RPA1B	REPLICATION PROTEIN A 1B		Encodes a homolog of Replication Protein A. rpa70b mutants are hypersensitive to UV-B radiation and MMS treatments suggesting a role for this protein in DNA damage repair.
AT5G45400	RPA1C	REPLICATION PROTEIN A 1C	early DSB repair in meiotic recombination	meiotic CO formation and DSB repair redundantly with RPA1A 
AT5G61000 	RPA1D	REPLICATION PROTEIN A 1D		umcharacterized
AT4G19130	RPA1E	REPLICATION PROTEIN A 1E		uncharacterized
AT2G24490 	RPA2	REPLICON PROTEIN A2		so far only involvement in DNA repair could be shown
AT5G15540	SCC2	SISTER-CHROMATID COHESION 2	Sister chromatid cohesion	"also EMB2773; adherin; SCC establishment, axis formation, DNA repair"
AT2G47980	SCC3	SISTER-CHROMATID COHESION PROTEIN 3	Sister chromatid cohesion	"SCC, monopolar orientation of kinetochore, DSB repair"
AT1G14750	SDS	SOLO DANCERS	early DSB repair in meiotic recombination	"meiotic cyclin-like protein, distinct from all other known Arabidopsis cyclins; necessary for meiotic DSB repair via the homologous chromosome; IH bias"
AT3G10440	SGO1	SHUGOSHIN 1	Sister chromatid cohesion	protein that protects meiotic centromere cohesion.
AT5G04320	SGO2	SHUGOSHIN 2	Sister chromatid cohesion	protein that protects meiotic centromere cohesion.
AT5G52290 	SHOC1	SHORTAGE IN CHIASMATA 1	CO and non-CO outcome of meiotic recombination	also ZIP2; shortage in Chiasmata; class I CO pathway of meiotic recombination accounting for 85% of COs; Putative XPF endonuclease. Interaction with PTD? Required for full number of chiasma formation
AT3G54670	SMC1	STRUCTURAL MAINTENANCE OF CHROMOSOMES 1	Sister chromatid cohesion	"also TTN8; sister chromatid cohesion, part of cohesin complex of SMC1, SMC3, SCC1, SCC3, meiotic gene; selection in tetraploid arenosa; core of sister chromatid cohesion complex"
AT3G47460	SMC2	STRUCTURAL MAINTENANCE OF CHROMOSOMES 2	Sister chromatid cohesion	also CAP-E2; condensin; expressed during both meiosis and mitosis; required for meiosis and development (redundant with SMC4)
AT2G27170	SMC3	STRUCTURAL MAINTENANCE OF CHROMOSOMES 3	Sister chromatid cohesion	also TTN7; cohesin complex meiosis; Encodes a member of the Arabidopsis cohesin complex that is essential for viability and sister chromatid alignment; seems required in both meiosis and mitosis; selection in tetraploid arenosa
AT5G62410	SMC4	STRUCTURAL MAINTENANCE OF CHROMOSOMES 4	Sister chromatid cohesion	"also CAP-E1, TTN3; condensin; expressed during both meiosis and mitosis; required for meiosis and development (redundant with SMC2)"
AT5G19400	SMG7		Meiotic cell cycle control spindle - cytokinesis	anaphase II progression; required for exit from meiosis; hypomorphic mutants  cell-cycle arrest in anaphase II; additional evolutionarily conserved role in nonsense-mediated RNA decay
AT3G13170	SPO11-1		DSB formation in meiotic recombination	also Rec12; required for meiotic DSB formation; toposiomerase II-related; binds to 5' end of DNA; catalytic subunit in DSB formation
AT1G63990	SPO11-2		DSB formation in meiotic recombination	also Rec12; required for meiotic DSB formation; toposiomerase II-related; binds to 5' end of DNA; catalytic subunit in DSB formation
AT5G02820	SPO11-3			"SPO11 homologue; no demonstrated function in Arabidopsis meiosis; involved in endoreduplication; also BIN5, BRASSINOSTEROID INSENSITIVE 5, RHL2, ROOT HAIRLESS 2"
AT5G51330	SWI1	SWITCH1	Entry into meiosis	"also DYAD, AM1; setup of meiotic chromosome structure"
AT5G05490	SYN1	SYNAPTIC 1	Sister chromatid cohesion	"also DIF1, REC8; RAD21-like gene essential for meiosis.SCC, monopolar orientation of kinetochore, DSB repair"
AT3G59550	SYN3	SISTER CHROMATID COHESION 1 PROTEIN 3	Sister chromatid cohesion	also RAD21.2; alpha-kleisin protein that is localized primarily in the nucleolus and is essential for megagametogenesis and plays an important role in pollen development. alpha-kleisins are core components of meiotic and mitotic cohesin complexes.
AT1G77390	TAM	TARDY ASYNCHRONOUS MEIOSIS	Meiotic cell cycle control spindle - cytokinesis	also CYCA1;2; IH bioas and meiotic cell cycle transitions; core cell cycle gene involved in meiosis II during microsporogenesis
AT3G43210	TES	TETRASPORE	Meiotic cell cycle control spindle - cytokinesis	"also NACK2 and STD; male meiotic cytokinesis; kinesin required for cytokinesis in pollen. In mutants, all four microspore nuclei remain within the same cytoplasm after meiosis."
AT5G63920	TOP3A	TOPOISOMERASE 3ALPHA	CO and non-CO outcome of meiotic recombination	Late recombination intermediate repair; anti-CO activity; suppresses somatic crossovers; essential for resolution of meiotic recombination intermediates.
AT1G11060	WAPL1	WINGS APART-LIKE PROTEIN 2	Sister chromatid cohesion	one of two redundant proteins (the other is WAPL2) that are involved in prophase removal of cohesion during meiosis; antagonistic role to CTF7
AT1G61030	WAPL2	WINGS APART-LIKE PROTEIN 2	Sister chromatid cohesion	one of two redundant proteins (the other is WAPL2) that are involved in prophase removal of cohesion during meiosis; antagonistic role to CTF8
AT5G64520	XRCC2	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 2	inter-homologous (IH) bias during meiotic recombination	anti-CO activity; RAD51 paralogue; recombinase (RecA homologue catalysing strand exchange); involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT5G57450	XRCC3	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 3	early DSB repair in meiotic recombination	SPO11-induced DSB repair; RAD51 paralogue; recombinase (RecA homologue catalysing strand exchange); required for meiosis; also involved in mitotic recombination (DNA repeair); single-strand DNA invasion
AT5G48720	XRI1	X-RAY INDUCED TRANSCRIPT 1	Entry into meiosis	Meiotic S-Phase DNA repair
AT5G48390	ZIP4	HOMOLOGUE OF YEAST SPO22	CO and non-CO outcome of meiotic recombination	"class I pathway of meiotic recombination accounting for 85% of COs; in yeast, Zip4 functions in conjunction with Zip2 to promote polymerization of the SC transverse filament protein Zip1; required for full number of chiasmata formation"
AT1G22260	ZYP1a	ZIPPER 1	Axis and synaptomnemal complex	"yeast ZIP1 orthologue; seletion in tetraploid arenosa; class I pathway of meiotic recombination accounting for 85% of COs; encodes transverse filament protein of the synaptonemal complex. Required for controlled formation of crossover. Mutant: Asynaptic. Slight reduction in COs. Nonhomologous COs occur. Duplicated genes, loss of either results in a fertility reduction of 30%. Orthologue in rice, ZEP1, also affects COs but, in this case, there appears to be an increase in CO frequency"
AT1G22275	ZYP1b	ZIPPer 1	Axis and synaptomnemal complex	"yeast ZIP1 orthologue; selection in tetraploid arenosa; class I pathway of meiotic recombination accounting for 85% of COs; encodes transverse filament protein of the synaptonemal complex. Required for controlled formation of crossover. Mutant: Asynaptic. Slight reduction in COs. Nonhomologous COs occur. Duplicated genes, loss of either results in a fertility reduction of 30%. Orthologue in rice, ZEP1, also affects COs but, in this case, there appears to be an increase in CO frequency"
