AGI code	Annotation
AT1G50410	 ATP binding / ATP-dependent helicase/ DNA binding / helicase/ nucleic acid binding / protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G50440	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G50620	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G50650	 unknown protein [Arabidopsis thaliana] 
AT1G50720	 unknown protein [Arabidopsis thaliana] 
AT1G50840	 3'-5' exonuclease/ DNA binding / DNA-directed DNA polymerase/ nucleic acid binding [Arabidopsis thaliana] 
AT1G51200	 DNA binding / zinc ion binding [Arabidopsis thaliana] 
AT1G51220	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G51600	 ZML2 (ZIM-LIKE 2); transcription factor [Arabidopsis thaliana] 
AT1G51610	 cation transporter/ efflux permease [Arabidopsis thaliana] 
AT1G51700	 ADOF1; DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G51760	 IAR3 (IAA-ALANINE RESISTANT 3); metallopeptidase [Arabidopsis thaliana] 
AT1G51780	 ILL5; metallopeptidase [Arabidopsis thaliana] 
AT1G51930	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G51980	 metalloendopeptidase [Arabidopsis thaliana] 
AT1G52160	 catalytic [Arabidopsis thaliana] 
AT1G52300	 structural constituent of ribosome [Arabidopsis thaliana] 
AT1G52520	 unknown protein [Arabidopsis thaliana] 
AT1G52940	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G53010	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G53130	 unknown protein [Arabidopsis thaliana] 
AT1G53160	 SPL4 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 4); DNA binding [Arabidopsis thaliana] 
AT1G53190	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G53340	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G53670	 unknown protein [Arabidopsis thaliana] 
AT1G53690	 DNA binding / DNA-directed RNA polymerase [Arabidopsis thaliana] 
AT1G53710	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G53720	 nucleic acid binding / peptidyl-prolyl cis-trans isomerase [Arabidopsis thaliana] 
AT1G53820	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G54360	 unknown protein [Arabidopsis thaliana] 
AT1G54390	 unknown protein [Arabidopsis thaliana] 
AT1G54490	 XRN4; 5'-3' exonuclease/ exonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT1G54930	 nucleic acid binding [Arabidopsis thaliana] 
AT1G55040	 binding [Arabidopsis thaliana] 
AT1G55110	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G55255	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G55380	 unknown protein [Arabidopsis thaliana] 
AT1G55390	 unknown protein [Arabidopsis thaliana] 
AT1G55420	 unknown protein [Arabidopsis thaliana] 
AT1G55430	 unknown protein [Arabidopsis thaliana] 
AT1G55440	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G55530	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G55600	 WRKY10; transcription factor [Arabidopsis thaliana] 
AT1G55700	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G55910	 ZIP11; cation transporter [Arabidopsis thaliana] 
AT1G55915	 unknown protein [Arabidopsis thaliana] 
AT1G55970	 histone acetyltransferase/ transcription cofactor/ zinc ion binding [Arabidopsis thaliana] 
AT1G56310	 3'-5' exonuclease/ nucleic acid binding [Arabidopsis thaliana] 
AT1G56360	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G57730	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G57800	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G57820	 DNA binding / protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G58037	 unknown protein [Arabidopsis thaliana] 
AT1G58180	 carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 
AT1G59830	 PP2A-1; protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G59970	 metalloendopeptidase/ metallopeptidase/ zinc ion binding [Arabidopsis thaliana] 
AT1G60360	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G60420	 electron transporter [Arabidopsis thaliana] 
AT1G60560	 unknown protein [Arabidopsis thaliana] 
AT1G60650	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT1G60860	 unknown protein [Arabidopsis thaliana] 
AT1G60960	 IRT3; cation transporter/ metal ion transporter [Arabidopsis thaliana] 
AT1G61010	 unknown protein [Arabidopsis thaliana] 
AT1G61570	 TIM13 (translocase of the inner membrane 13); protein translocase [Arabidopsis thaliana] 
AT1G61620	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G61690	 zinc ion binding [Arabidopsis thaliana] 
AT1G61700	 DNA-directed RNA polymerase [Arabidopsis thaliana] 
AT1G61710	 unknown protein [Arabidopsis thaliana] 
AT1G61840	 unknown protein [Arabidopsis thaliana] 
AT1G62030	 unknown protein [Arabidopsis thaliana] 
AT1G62300	 WRKY6; transcription factor [Arabidopsis thaliana] 
AT1G62370	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G63020	 NRPD1a; DNA binding / DNA-directed RNA polymerase [Arabidopsis thaliana] 
AT1G63170	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G63290	 ribulose-phosphate 3-epimerase [Arabidopsis thaliana] 
AT1G63410	 unknown protein [Arabidopsis thaliana] 
AT1G63490	 transcription factor [Arabidopsis thaliana] 
AT1G63770	 membrane alanyl aminopeptidase [Arabidopsis thaliana] 
AT1G63840	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G63900	 zinc ion binding [Arabidopsis thaliana] 
AT1G64000	 WRKY56; transcription factor [Arabidopsis thaliana] 
AT1G64040	 TOPP3; protein phosphatase type 1 [Arabidopsis thaliana] 
AT1G64255	 unknown protein [Arabidopsis thaliana] 
AT1G64260	 unknown protein [Arabidopsis thaliana] 
