Ath_ID	description
AT5G43530	HELICASE PROTEIN
AT3G05480	DNA REPAIR PROTEIN
AT5G50340	RADA-LIKE PROTEIN
AT3G27730	DNA HELICASE
AT1G79050	HOMOLOG OF BACTERIAL RECA 
AT2G19490	A. THALIANA RECA HOMOLOG 2 
AT3G10140	RECA HOMOLOG 3 
AT2G01440	ARABIDOPSIS HOMOLOG OF BACTERIAL RECG 
AT1G10930	DNA HELICASE
AT3G05740	RECQ HELICASE L1 
AT1G31360	RECQ HELICASE L2
AT4G35740	RECQ HELICASE 3
AT5G27680	RECQ HELICASE SIM 
AT5G44750	REVERSIONLESS 1
AT1G67500	RECOVERY PROTEIN 3 
AT1G16590	REVERSIONLESS 7
AT5G22010	REPLICATION FACTOR C1 
AT1G63160	REPLICATION FACTOR C 2 
AT1G77470	REPLICATION FACTOR C SUBUNIT 3 
AT1G21690	REPLICATION FACTOR C 4
AT5G02820	ROOT HAIRLESS 2 
AT5G63540	RECQ MEDIATED INSTABILITY 1
AT1G08390	RECQ MEDIATED INSTABILITY 2
AT2G21790	RIBONUCLEOTIDE REDUCTASE 1 
AT2G06510	REPLICATION PROTEIN A 1A 
AT2G24490	REPLICON PROTEIN A2 
AT3G02920	REPLICATION PROTEIN A 32B
AT3G52630	REPLICATION PROTEIN A 3A 
AT5G08020	RPA70-KDA SUBUNIT B 
AT5G45400	REPLICATION PROTEIN A 70C
AT5G61000	REPLICATION PROTEIN A 70D
AT1G79950	REGULATOR OF TELOMERE ELONGATION HELICASE1 
AT5G26680	SHADE AVOIDANCE 6 
AT1G76710	SETDOMAIN GROUP 26
AT1G14750	SOLO DANCERS
AT3G48900	RESOLVASE
AT2G27600	SUPPRESSOR OF K+ TRANSPORT GROWTH DEFECT1 
AT5G49010	SYNTHETIC LETHALITY WITH DPB11-1 5 
AT5G15920	STRUCTURAL MAINTENANCE OF CHROMOSOMES 5 
AT4G18470	"SUPPRESSOR OF NPR1-1, INDUCIBLE 1 "
AT3G26680	SENSITIVE TO NITROGEN MUSTARD 1 
AT3G13170	SPORULATION 11-1 
AT1G63990	SPORULATION 11-2 
AT4G10710	GLOBAL TRANSCRIPTION FACTOR C 
AT4G25120	SUPPRESSOR OF RAD SIX-SCREEN MUTANT 2 
AT4G33925	SUPPRESSOR OF SNI1 2 
AT2G47210	SWR1 COMPLEX 4 
AT5G05490	SYNAPTIC 1 
AT3G59550	SYNAPTIC 3
AT4G29860	DECREASED SIZE EXCLUSION LIMIT 1
AT5G15170	TYROSYL-DNA PHOSPHODIESTERASE 1 
AT4G32700	TEBICHI 
AT2G31870	SANSKRIT FOR 'BRIGHT' 
AT1G18340	TRANSCRIPTION FACTOR COMPLEX SUBUNIT-LIKE PROTEIN
AT3G07800	THYMIDINE KINASE 1A 
