AGI code	Annotation
AT5G63600	" flavonol synthase, putative [Arabidopsis thaliana] "
AT1G77330	" 1-aminocyclopropane-1-carboxylate oxidase, putative / ACC oxidase, putative [Arabidopsis thaliana] "
AT3G19000	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G19010	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G21420	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G50210	" 2-oxoacid-dependent oxidase, putative [Arabidopsis thaliana] "
AT4G16330	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G16770	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT5G12270	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G48020	 expressed protein [Arabidopsis thaliana] 
AT5G43935	 flavonol synthase family [Arabidopsis thaliana] 
AT5G63595	" flavonol synthase, putative [Arabidopsis thaliana] "
AT4G16765	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G63290	 expressed protein [Arabidopsis thaliana] 
AT1G55020	 lipoxygenase (LOX1) [Arabidopsis thaliana] 
AT1G67560	 lipoxygenase family protein [Arabidopsis thaliana] 
AT1G72520	" lipoxygenase, putative [Arabidopsis thaliana] "
AT3G22400	" lipoxygenase, putative [Arabidopsis thaliana] "
AT1G17420	" lipoxygenase, putative [Arabidopsis thaliana] "
AT3G45140	 lipoxygenase (LOX2) [Arabidopsis thaliana] 
AT1G13750	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT1G13900	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT1G14700	" purple acid phosphatase, putative [Arabidopsis thaliana] "
AT1G25230	 purple acid phosphatase family protein [Arabidopsis thaliana] 
AT1G53710	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT1G56360	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT2G01880	 purple acid phosphatase (PAP7) [Arabidopsis thaliana] 
AT2G01890	" purple acid phosphatase, putative [Arabidopsis thaliana] "
AT2G03450	 purple acid phosphatase (PAP9) [Arabidopsis thaliana] 
AT2G16430	 purple acid phosphatase (PAP10) [Arabidopsis thaliana] 
AT2G18130	 purple acid phosphatase (PAP11) [Arabidopsis thaliana] 
