"","gene","WFe_pH 5.5","LFe_pH 5.5","LFe_pH 7.5","WFe_pH 7.5","cluster","membership"
"109","AT1G55390",1.20433848629393,0.295613694587808,-0.339334469597678,-1.16061771128406,1,0.226138009165695
"110","AT1G55410",1.15321932550427,0.087183463339198,-1.28847704552625,0.0480742566827746,1,0.539709576359296
"111","AT1G55640",0.702684747915957,0.493166414540422,-1.47769573054035,0.281844568083975,1,0.289767237428444
"112","AT1G55700",1.31070820129638,0.22162916652072,-0.594565042925267,-0.937772324891828,1,0.279178502816677
"113","AT1G58037",1.03695047370663,0.241572240184822,-1.36350800101234,0.0849852871208898,1,0.529477094741431
"114","AT1G58070",0.888554388822627,0.13285914334472,-1.42481199642821,0.40339846426086,1,0.292934239358883
"115","AT1G58150",1.17057693721254,0.128390516412444,-1.26980916018314,-0.0291582934418479,1,0.62403330702195
"116","AT1G58270",1.05444233121594,0.648159539799858,-0.947773769800958,-0.754828101214843,1,0.317659212626257
"117","AT1G60130",0.755518797739477,0.670871601108976,-1.40667477955772,-0.0197156192907343,1,0.32121778061463
"118","AT1G60160",1.05632133032705,0.561394532572929,-1.16977282401762,-0.447943038882356,1,0.452699249102914
"119","AT1G60550",1.38753536428755,-0.222030805435178,-0.166670859547573,-0.998833699304796,1,0.212537025481454
"120","AT1G60960",1.4445987448443,-0.161559924568685,-0.462719871547081,-0.820318948728534,1,0.253747396041192
"121","AT1G61050",0.931858693118393,0.522739624788114,-1.35993433324719,-0.0946639846593162,1,0.475540720401278
"122","AT1G61080",1.10953067369043,0.293763441944972,-1.29242093030541,-0.110873185329989,1,0.704691389194304
"123","AT1G61215",0.912945341767022,0.174597812986489,-1.42259788271832,0.335054727964814,1,0.331304627572735
